Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2016-01-01 00:00,6.985,0.252,0,0,0,0,v
2016-01-01 00:06,6.999,0.249,0,0,0,0,v
2016-01-01 00:12,7.015,0.231,0,0,0,0,v
2016-01-01 00:18,7.023,0.235,0,0,0,0,v
2016-01-01 00:24,7.000,0.193,0,0,0,0,v
2016-01-01 00:30,6.979,0.255,0,0,0,0,v
2016-01-01 00:36,7.009,0.205,0,0,0,0,v
2016-01-01 00:42,7.005,0.236,0,0,0,0,v
2016-01-01 00:48,7.012,0.234,0,0,0,0,v
2016-01-01 00:54,7.041,0.195,0,0,0,0,v
2016-01-01 01:00,7.002,0.197,0,0,0,0,v
2016-01-01 01:06,6.992,0.239,0,0,0,0,v
2016-01-01 01:12,7.056,0.243,0,0,0,0,v
2016-01-01 01:18,7.080,0.224,0,0,0,0,v
2016-01-01 01:24,7.051,0.237,0,0,0,0,v
2016-01-01 01:30,7.021,0.241,0,0,0,0,v
2016-01-01 01:36,6.977,0.254,0,0,0,0,v
2016-01-01 01:42,7.005,0.230,0,0,0,0,v
2016-01-01 01:48,7.008,0.208,0,0,0,0,v
2016-01-01 01:54,7.012,0.218,0,0,0,0,v
2016-01-01 02:00,6.992,0.239,0,0,0,0,v
2016-01-01 02:06,7.026,0.201,0,0,0,0,v
2016-01-01 02:12,7.007,0.204,0,0,0,0,v
2016-01-01 02:18,6.988,0.205,0,0,0,0,v
2016-01-01 02:24,7.000,0.207,0,0,0,0,v
2016-01-01 02:30,7.006,0.220,0,0,0,0,v
2016-01-01 02:36,6.980,0.239,0,0,0,0,v
2016-01-01 02:42,6.984,0.245,0,0,0,0,v
2016-01-01 02:48,6.978,0.245,0,0,0,0,v
2016-01-01 02:54,6.986,0.190,0,0,0,0,v
2016-01-01 03:00,6.965,0.256,0,0,0,0,v
2016-01-01 03:06,6.944,0.248,0,0,0,0,v
2016-01-01 03:12,6.963,0.206,0,0,0,0,v
2016-01-01 03:18,6.957,0.220,0,0,0,0,v
2016-01-01 03:24,6.969,0.228,0,0,0,0,v
2016-01-01 03:30,6.957,0.234,0,0,0,0,v
2016-01-01 03:36,6.942,0.243,0,0,0,0,v
2016-01-01 03:42,6.973,0.205,0,0,0,0,v
2016-01-01 03:48,6.986,0.206,0,0,0,0,v
2016-01-01 03:54,6.987,0.214,0,0,0,0,v
2016-01-01 04:00,6.970,0.228,0,0,0,0,v
2016-01-01 04:06,6.961,0.248,0,0,0,0,v
2016-01-01 04:12,6.975,0.218,0,0,0,0,v
2016-01-01 04:18,6.976,0.223,0,0,0,0,v
2016-01-01 04:24,6.973,0.239,0,0,0,0,v
2016-01-01 04:30,6.983,0.186,0,0,0,0,v
2016-01-01 04:36,6.959,0.169,0,0,0,0,v
2016-01-01 04:42,6.980,0.175,0,0,0,0,v
2016-01-01 04:48,6.972,0.235,0,0,0,0,v
2016-01-01 04:54,6.991,0.193,0,0,0,0,v
2016-01-01 05:00,6.987,0.205,0,0,0,0,v
2016-01-01 05:06,6.944,0.177,0,0,0,0,v
2016-01-01 05:12,6.921,0.221,0,0,0,0,v
2016-01-01 05:18,6.941,0.221,0,0,0,0,v
2016-01-01 05:24,6.948,0.194,0,0,0,0,v
2016-01-01 05:30,6.924,0.232,0,0,0,0,v
2016-01-01 05:36,6.924,0.232,0,0,0,0,v
2016-01-01 05:42,6.933,0.177,0,0,0,0,v
2016-01-01 05:48,6.947,0.164,0,0,0,0,v
2016-01-01 05:54,6.903,0.198,0,0,0,0,v
2016-01-01 06:00,6.936,0.174,0,0,0,0,v
2016-01-01 06:06,6.912,0.263,0,0,0,0,v
