Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2020-01-01 00:00,6.810,0.060,0,0,0,0,v
2020-01-01 00:06,6.806,0.055,0,0,0,0,v
2020-01-01 00:12,6.807,0.059,0,0,0,0,v
2020-01-01 00:18,6.834,0.068,0,0,0,0,v
2020-01-01 00:24,6.817,0.059,0,0,0,0,v
2020-01-01 00:30,6.822,0.064,0,0,0,0,v
2020-01-01 00:36,6.826,0.073,0,0,0,0,v
2020-01-01 00:42,6.836,0.064,0,0,0,0,v
2020-01-01 00:48,6.819,0.064,0,0,0,0,v
2020-01-01 00:54,6.831,0.066,0,0,0,0,v
2020-01-01 01:00,6.841,0.056,0,0,0,0,v
2020-01-01 01:06,6.821,0.068,0,0,0,0,v
2020-01-01 01:12,6.840,0.065,0,0,0,0,v
2020-01-01 01:18,6.854,0.058,0,0,0,0,v
2020-01-01 01:24,6.873,0.059,0,0,0,0,v
2020-01-01 01:30,6.849,0.058,0,0,0,0,v
2020-01-01 01:36,6.845,0.062,0,0,0,0,v
2020-01-01 01:42,6.854,0.052,0,0,0,0,v
2020-01-01 01:48,6.869,0.058,0,0,0,0,v
2020-01-01 01:54,6.872,0.061,0,0,0,0,v
2020-01-01 02:00,6.852,0.056,0,0,0,0,v
2020-01-01 02:06,6.853,0.055,0,0,0,0,v
2020-01-01 02:12,6.873,0.052,0,0,0,0,v
2020-01-01 02:18,6.879,0.060,0,0,0,0,v
2020-01-01 02:24,6.870,0.065,0,0,0,0,v
2020-01-01 02:30,6.863,0.047,0,0,0,0,v
2020-01-01 02:36,6.880,0.051,0,0,0,0,v
2020-01-01 02:42,6.889,0.058,0,0,0,0,v
2020-01-01 02:48,6.877,0.053,0,0,0,0,v
2020-01-01 02:54,6.892,0.058,0,0,0,0,v
2020-01-01 03:00,6.882,0.058,0,0,0,0,v
2020-01-01 03:06,6.868,0.059,0,0,0,0,v
2020-01-01 03:12,6.864,0.051,0,0,0,0,v
2020-01-01 03:18,6.843,0.049,0,0,0,0,v
2020-01-01 03:24,6.831,0.064,0,0,0,0,v
2020-01-01 03:30,6.833,0.057,0,0,0,0,v
2020-01-01 03:36,6.848,0.046,0,0,0,0,v
2020-01-01 03:42,6.829,0.061,0,0,0,0,v
2020-01-01 03:48,6.849,0.054,0,0,0,0,v
2020-01-01 03:54,6.842,0.062,0,0,0,0,v
2020-01-01 04:00,6.852,0.053,0,0,0,0,v
2020-01-01 04:06,6.830,0.045,0,0,0,0,v
2020-01-01 04:12,6.828,0.054,0,0,0,0,v
2020-01-01 04:18,6.846,0.064,0,0,0,0,v
2020-01-01 04:24,6.844,0.050,0,0,0,0,v
2020-01-01 04:30,6.837,0.056,0,0,0,0,v
2020-01-01 04:36,6.838,0.064,0,0,0,0,v
2020-01-01 04:42,6.857,0.050,0,0,0,0,v
2020-01-01 04:48,6.837,0.058,0,0,0,0,v
2020-01-01 04:54,6.832,0.059,0,0,0,0,v
2020-01-01 05:00,6.818,0.057,0,0,0,0,v
2020-01-01 05:06,6.819,0.050,0,0,0,0,v
2020-01-01 05:12,6.797,0.063,0,0,0,0,v
2020-01-01 05:18,6.809,0.064,0,0,0,0,v
2020-01-01 05:24,6.797,0.059,0,0,0,0,v
2020-01-01 05:30,6.789,0.065,0,0,0,0,v
2020-01-01 05:36,6.829,0.058,0,0,0,0,v
2020-01-01 05:42,6.819,0.053,0,0,0,0,v
2020-01-01 05:48,6.812,0.049,0,0,0,0,v
2020-01-01 05:54,6.795,0.053,0,0,0,0,v
2020-01-01 06:00,6.791,0.050,0,0,0,0,v
2020-01-01 06:06,6.765,0.057,0,0,0,0,v
2020-01-01 06:12,6.772,0.053,0,0,0,0,v
2020-01-01 06:18,6.780,0.055,0,0,0,0,v
2020-01-01 06:24,6.748,0.053,0,0,0,0,v
2020-01-01 06:30,6.753,0.055,0,0,0,0,v
2020-01-01 06:36,6.748,0.059,0,0,0,0,v
2020-01-01 06:42,6.771,0.044,0,0,0,0,v
2020-01-01 06:48,6.783,0.055,0,0,0,0,v
2020-01-01 06:54,6.778,0.055,0,0,0,0,v
2020-01-01 07:00,6.767,0.053,0,0,0,0,v
2020-01-01 07:06,6.758,0.054,0,0,0,0,v
2020-01-01 07:12,6.732,0.052,0,0,0,0,v
2020-01-01 07:18,6.717,0.051,0,0,0,0,v
2020-01-01 07:24,6.734,0.049,0,0,0,0,v
2020-01-01 07:30,6.747,0.045,0,0,0,0,v
2020-01-01 07:36,6.763,0.050,0,0,0,0,v
2020-01-01 07:42,6.766,0.055,0,0,0,0,v
2020-01-01 07:48,6.727,0.054,0,0,0,0,v
2020-01-01 07:54,6.717,0.054,0,0,0,0,v
2020-01-01 08:00,6.727,0.048,0,0,0,0,v
2020-01-01 08:06,6.701,0.051,0,0,0,0,v
2020-01-01 08:12,6.721,0.048,0,0,0,0,v
2020-01-01 08:18,6.740,0.049,0,0,0,0,v
2020-01-01 08:24,6.705,0.048,0,0,0,0,v
